id,courseId,userId,createdAt,updatedAt,deletedAt
23,3477,2,2023-05-25 03:51:04.614,2023-05-25 03:51:04.614,
24,3481,2,2023-05-25 03:51:29.592,2023-05-25 03:51:29.592,
25,100,2,2023-05-25 04:50:38.069,2023-05-25 04:50:38.069,
26,101,2,2023-05-25 04:50:39.218,2023-05-25 04:50:39.218,
27,102,2,2023-05-25 04:50:39.475,2023-05-25 04:50:39.475,
28,3495,2,2023-05-25 04:50:40.167,2023-05-25 04:50:40.167,
29,105,2,2023-05-25 04:50:41.239,2023-05-25 04:50:41.239,
30,104,2,2023-05-25 04:50:42.040,2023-05-25 04:50:42.040,
31,3496,2,2023-05-25 04:50:42.683,2023-05-25 04:50:42.683,
32,3498,2,2023-05-25 04:50:44.129,2023-05-25 04:50:44.129,
33,3499,2,2023-05-25 04:50:44.773,2023-05-25 04:50:44.773,
34,3500,2,2023-05-25 04:50:45.584,2023-05-25 04:50:45.584,
35,3498,2,2023-05-25 04:50:47.047,2023-05-25 04:50:47.047,
36,3617,2,2023-05-25 05:09:35.230,2023-05-25 05:09:35.230,
37,3620,2,2023-05-25 05:09:41.786,2023-05-25 05:09:41.786,
38,3622,2,2023-05-25 05:09:50.938,2023-05-25 05:09:50.938,
39,3625,2,2023-05-25 05:09:56.536,2023-05-25 05:09:56.536,
40,3675,2,2023-05-25 06:17:47.819,2023-05-25 06:17:47.819,
41,2951,2,2023-05-25 06:17:51.262,2023-05-25 06:17:51.262,
42,3674,2,2023-05-25 06:17:51.261,2023-05-25 06:17:51.261,
43,3677,2,2023-05-25 06:17:52.201,2023-05-25 06:17:52.201,
44,3674,2,2023-05-25 06:17:53.177,2023-05-25 06:17:53.177,
45,3673,2,2023-05-25 06:17:55.083,2023-05-25 06:17:55.083,
46,3750,3,2023-05-25 06:35:56.898,2023-05-25 06:35:56.898,
47,3751,3,2023-05-25 06:41:12.802,2023-05-25 06:41:12.802,
48,3763,3,2023-05-25 06:47:12.476,2023-05-25 06:47:12.476,
49,3762,3,2023-05-25 06:47:17.339,2023-05-25 06:47:17.339,
50,3760,3,2023-05-25 06:47:19.052,2023-05-25 06:47:19.052,
51,3760,3,2023-05-25 06:47:26.632,2023-05-25 06:47:26.632,
52,3759,3,2023-05-25 06:47:28.820,2023-05-25 06:47:28.820,
53,3758,3,2023-05-25 06:47:29.796,2023-05-25 06:47:29.796,
54,3756,3,2023-05-25 06:47:32.105,2023-05-25 06:47:32.105,
55,3754,3,2023-05-25 06:47:33.873,2023-05-25 06:47:33.873,
56,3757,3,2023-05-25 06:47:33.868,2023-05-25 06:47:33.868,
57,3753,3,2023-05-25 06:47:34.676,2023-05-25 06:47:34.676,
58,3752,3,2023-05-25 06:47:38.624,2023-05-25 06:47:38.624,
59,3884,2,2023-05-25 12:11:50.657,2023-05-25 12:11:50.657,
60,3885,2,2023-05-25 12:11:53.727,2023-05-25 12:11:53.727,
61,100,2,2023-05-25 12:11:54.302,2023-05-25 12:11:54.302,
62,104,2,2023-05-25 12:11:54.735,2023-05-25 12:11:54.735,
63,3619,2,2023-05-25 12:11:57.796,2023-05-25 12:11:57.796,
64,3618,2,2023-05-25 12:11:58.644,2023-05-25 12:11:58.644,
65,3621,2,2023-05-25 12:11:59.494,2023-05-25 12:11:59.494,
66,3623,2,2023-05-25 12:12:00.202,2023-05-25 12:12:00.202,
67,3616,2,2023-05-25 12:12:01.148,2023-05-25 12:12:01.148,
68,3616,2,2023-05-25 13:09:53.956,2023-05-25 13:09:53.956,
69,3617,2,2023-05-25 13:09:54.756,2023-05-25 13:09:54.756,
70,3618,2,2023-05-25 13:09:55.664,2023-05-25 13:09:55.664,
71,3619,2,2023-05-25 13:09:57.488,2023-05-25 13:09:57.488,
72,3945,2,2023-05-25 13:09:59.777,2023-05-25 13:09:59.777,
73,3623,2,2023-05-25 13:10:00.492,2023-05-25 13:10:00.492,
74,3621,2,2023-05-25 13:10:01.350,2023-05-25 13:10:01.350,
75,3629,2,2023-05-25 13:10:03.120,2023-05-25 13:10:03.120,
76,4017,2,2023-05-25 13:10:03.836,2023-05-25 13:10:03.836,
77,4018,2,2023-05-25 13:10:04.940,2023-05-25 13:10:04.940,
78,3616,2,2023-05-25 13:14:37.940,2023-05-25 13:14:37.940,
79,3617,2,2023-05-25 13:14:39.821,2023-05-25 13:14:39.821,
80,100,4,2023-05-25 13:20:20.692,2023-05-25 13:20:20.692,
81,101,4,2023-05-25 13:20:22.326,2023-05-25 13:20:22.326,
82,102,4,2023-05-25 13:20:23.094,2023-05-25 13:20:23.094,
83,105,4,2023-05-25 13:20:24.192,2023-05-25 13:20:24.192,
84,104,4,2023-05-25 13:20:24.077,2023-05-25 13:20:24.077,
85,3495,4,2023-05-25 13:20:25.088,2023-05-25 13:20:25.088,
86,3497,4,2023-05-25 13:20:25.636,2023-05-25 13:20:25.636,
87,3498,4,2023-05-25 13:20:26.477,2023-05-25 13:20:26.477,
88,3499,4,2023-05-25 13:20:27.266,2023-05-25 13:20:27.266,
89,3500,4,2023-05-25 13:20:27.843,2023-05-25 13:20:27.843,
90,4282,4,2023-05-25 13:20:40.157,2023-05-25 13:20:40.157,
91,4283,4,2023-05-25 13:20:40.813,2023-05-25 13:20:40.813,
92,4284,4,2023-05-25 13:20:41.302,2023-05-25 13:20:41.302,
93,4285,4,2023-05-25 13:20:41.666,2023-05-25 13:20:41.666,
94,4298,4,2023-05-25 13:20:51.893,2023-05-25 13:20:51.893,
95,3111,4,2023-05-25 13:20:52.254,2023-05-25 13:20:52.254,
96,3113,4,2023-05-25 13:20:52.585,2023-05-25 13:20:52.585,
97,3117,4,2023-05-25 13:20:53.096,2023-05-25 13:20:53.096,
98,4299,4,2023-05-25 13:20:53.214,2023-05-25 13:20:53.214,
99,3119,4,2023-05-25 13:20:53.958,2023-05-25 13:20:53.958,
100,4300,4,2023-05-25 13:20:54.306,2023-05-25 13:20:54.306,
101,4301,4,2023-05-25 13:20:55.039,2023-05-25 13:20:55.039,
102,4302,4,2023-05-25 13:20:55.344,2023-05-25 13:20:55.344,
103,55,5,2023-05-25 14:12:50.179,2023-05-25 14:12:50.179,
104,4416,5,2023-05-25 14:12:54.771,2023-05-25 14:12:54.771,
105,56,5,2023-05-25 14:12:54.433,2023-05-25 14:12:54.433,
106,4415,5,2023-05-25 14:12:55.904,2023-05-25 14:12:55.904,
107,58,5,2023-05-25 14:12:58.072,2023-05-25 14:12:58.072,
108,3617,5,2023-05-25 14:13:10.916,2023-05-25 14:13:10.916,
109,3621,5,2023-05-25 14:13:11.953,2023-05-25 14:13:11.953,
110,3618,5,2023-05-25 14:13:12.957,2023-05-25 14:13:12.957,
111,3944,5,2023-05-25 14:13:14.332,2023-05-25 14:13:14.332,
112,4016,5,2023-05-25 14:13:20.866,2023-05-25 14:13:20.866,
113,4490,5,2023-05-25 14:13:52.737,2023-05-25 14:13:52.737,
114,3629,5,2023-05-25 14:13:54.624,2023-05-25 14:13:54.624,
115,3945,5,2023-05-25 14:13:55.481,2023-05-25 14:13:55.481,
116,4016,5,2023-05-25 14:13:57.436,2023-05-25 14:13:57.436,
117,4491,5,2023-05-25 14:13:59.669,2023-05-25 14:13:59.669,
118,3628,5,2023-05-25 14:14:00.838,2023-05-25 14:14:00.838,
119,4016,5,2023-05-25 14:14:02.920,2023-05-25 14:14:02.920,
120,3944,5,2023-05-25 14:14:48.601,2023-05-25 14:14:48.601,
121,4646,6,2023-05-25 14:15:18.279,2023-05-25 14:15:18.279,
122,4647,6,2023-05-25 14:15:25.751,2023-05-25 14:15:25.751,
123,56,5,2023-05-25 14:27:39.749,2023-05-25 14:27:39.749,
124,4650,5,2023-05-25 14:27:41.508,2023-05-25 14:27:41.508,
